,product,words,words_tagging,syllables,syllables_tagging
피코크 레이디 핑거 티라미수 케이크랑 서울우유 초코멸균,"['피코크', ' ', '레이디', ' ', '핑거', ' ', '티라미수', ' ', '케이크', '랑', ' ', '서울우유', ' ', '초코멸균']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '레', '이', '디', ' ', '핑', '거', ' ', '티', '라', '미', '수', ' ', '케', '이', '크', '랑', ' ', '서', '울', '우', '유', ' ', '초', '코', '멸', '균']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 젤라또 망고 앤 패션푸룻 바른목장 멸균우유,"['피코크', ' ', '젤라또', ' ', '망고', ' ', '앤', ' ', '패션푸룻', ' ', '바른목장', ' ', '멸균우유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '젤', '라', '또', ' ', '망', '고', ' ', '앤', ' ', '패', '션', '푸', '룻', ' ', '바', '른', '목', '장', ' ', '멸', '균', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
국내산 오징어젓갈 노브랜드 초코 아이스,"['국내산', ' ', '오징어젓갈', ' ', '노브랜드', ' ', '초코', ' ', '아이스']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['국', '내', '산', ' ', '오', '징', '어', '젓', '갈', ' ', '노', '브', '랜', '드', ' ', '초', '코', ' ', '아', '이', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
상촌 된장이랑 동원소와나무 고칼슘치즈,"['상촌', ' ', '된장', '이랑', ' ', '동원소와나무', ' ', '고칼슘치즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['상', '촌', ' ', '된', '장', '이', '랑', ' ', '동', '원', '소', '와', '나', '무', ' ', '고', '칼', '슘', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
탤리스 녹차아이스크림과 풀무원 뚝배기 양념,"['탤리스', ' ', '녹차아이스크림', '과', ' ', '풀무원', ' ', '뚝배기', ' ', '양념']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['탤', '리', '스', ' ', '녹', '차', '아', '이', '스', '크', '림', '과', ' ', '풀', '무', '원', ' ', '뚝', '배', '기', ' ', '양', '념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
참기름자반볶음 쌀로별 인절미맛 과자,"['참기름자반볶음', ' ', '쌀로별', ' ', '인절미맛', ' ', '과자']","['PRD_B', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['참', '기', '름', '자', '반', '볶', '음', ' ', '쌀', '로', '별', ' ', '인', '절', '미', '맛', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
피코크 동태전이랑 훈제 닭가슴살 슬라이스,"['피코크', ' ', '동태전', '이랑', ' ', '훈제', ' ', '닭가슴살', ' ', '슬라이스']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '동', '태', '전', '이', '랑', ' ', '훈', '제', ' ', '닭', '가', '슴', '살', ' ', '슬', '라', '이', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
프랑스 프리미엄 뺑바타르 파베이크랑 롯데 맘스 둥근달,"['프랑스', ' ', '프리미엄', ' ', '뺑바타르', ' ', '파베이크', '랑', ' ', '롯데', ' ', '맘스', ' ', '둥근달']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['프', '랑', '스', ' ', '프', '리', '미', '엄', ' ', '뺑', '바', '타', '르', ' ', '파', '베', '이', '크', '랑', ' ', '롯', '데', ' ', '맘', '스', ' ', '둥', '근', '달']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
김순자 한성깍뚜기 프랑스 초콜릿 스위스 냉동생지,"['김순자', ' ', '한성깍뚜기', ' ', '프랑스', ' ', '초콜릿', ' ', '스위스', ' ', '냉동생지']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['김', '순', '자', ' ', '한', '성', '깍', '뚜', '기', ' ', '프', '랑', '스', ' ', '초', '콜', '릿', ' ', '스', '위', '스', ' ', '냉', '동', '생', '지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
어리굴젓과 제주 그대로 귤향 과즐 과자,"['어리굴젓', '과', ' ', '제주', ' ', '그대로', ' ', '귤향', ' ', '과즐', ' ', '과자']","['PRD_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['어', '리', '굴', '젓', '과', ' ', '제', '주', ' ', '그', '대', '로', ' ', '귤', '향', ' ', '과', '즐', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
소와나무 크림 치즈랑 진주햄 천하장사 오리지날,"['소와나무', ' ', '크림', ' ', '치즈', '랑', ' ', '진주햄', ' ', '천하장사', ' ', '오리지날']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['소', '와', '나', '무', ' ', '크', '림', ' ', '치', '즈', '랑', ' ', '진', '주', '햄', ' ', '천', '하', '장', '사', ' ', '오', '리', '지', '날']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
메이오 밀크랑 프리미엄 쉐이크,"['메이오', ' ', '밀크', '랑', ' ', '프리미엄', ' ', '쉐이크']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['메', '이', '오', ' ', '밀', '크', '랑', ' ', '프', '리', '미', '엄', ' ', '쉐', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
연세우유 초코랑 카스테라 호두과자,"['연세우유', ' ', '초코', '랑', ' ', '카스테라', ' ', '호두과자']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['연', '세', '우', '유', ' ', '초', '코', '랑', ' ', '카', '스', '테', '라', ' ', '호', '두', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
대복 포기김치랑 백설 동그랑땡,"['대복', ' ', '포기김치', '랑', ' ', '백설', ' ', '동그랑땡']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['대', '복', ' ', '포', '기', '김', '치', '랑', ' ', '백', '설', ' ', '동', '그', '랑', '땡']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
허니버터칩 과자랑 토레스 셀렉타 캐비어,"['허니버터칩', ' ', '과자', '랑', ' ', '토레스', ' ', '셀렉타', ' ', '캐비어']","['PRD_B', '-', 'PRDG_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['허', '니', '버', '터', '칩', ' ', '과', '자', '랑', ' ', '토', '레', '스', ' ', '셀', '렉', '타', ' ', '캐', '비', '어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
레드벨벳 크림치즈케익 402ML짜리 아이스크림,"['레드벨벳', ' ', '크림치즈케익', ' ', '402ML짜리', ' ', '아이스크림']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRD_B', '-', 'PRDG_B']","['레', '드', '벨', '벳', ' ', '크', '림', '치', '즈', '케', '익', ' ', '4', '0', '2', 'M', 'L', '짜', '리', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
그대로 청국장이랑 건곤드레나물볶음,"['그대로', ' ', '청국장', '이랑', ' ', '건곤드레나물볶음']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B']","['그', '대', '로', ' ', '청', '국', '장', '이', '랑', ' ', '건', '곤', '드', '레', '나', '물', '볶', '음']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
이마트 초코크런치롤이랑 에멘탈 슬라이스,"['이마트', ' ', '초코크런치롤', '이랑', ' ', '에멘탈', ' ', '슬라이스']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['이', '마', '트', ' ', '초', '코', '크', '런', '치', '롤', '이', '랑', ' ', '에', '멘', '탈', ' ', '슬', '라', '이', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
큐원 아몬드분말이랑 다담된장찌개양념,"['큐원', ' ', '아몬드분말', '이랑', ' ', '다담된장찌개양념']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B']","['큐', '원', ' ', '아', '몬', '드', '분', '말', '이', '랑', ' ', '다', '담', '된', '장', '찌', '개', '양', '념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
하겐다즈 쿠키크림 아이스크림이랑 파육개장,"['하겐다즈', ' ', '쿠키크림', ' ', '아이스크림', '이랑', ' ', '파육개장']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', '-', '-', 'PRD_B']","['하', '겐', '다', '즈', ' ', '쿠', '키', '크', '림', ' ', '아', '이', '스', '크', '림', '이', '랑', ' ', '파', '육', '개', '장']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
미니 프레첼 맛 과자랑 후레쉬팡,"['미니', ' ', '프레첼', ' ', '맛', ' ', '과자', '랑', ' ', '후레쉬팡']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', '-', '-', 'PRD_B']","['미', '니', ' ', '프', '레', '첼', ' ', '맛', ' ', '과', '자', '랑', ' ', '후', '레', '쉬', '팡']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
맛밤이랑 동원 플레인 치즈,"['맛밤', '이랑', ' ', '동원', ' ', '플레인', ' ', '치즈']","['PRD_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['맛', '밤', '이', '랑', ' ', '동', '원', ' ', '플', '레', '인', ' ', '치', '즈']","['PRD_B', 'PRD_I', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
메밀 지짐만두랑 뽀뽀뜨김치 맛김치,"['메밀', ' ', '지짐만두', '랑', ' ', '뽀뽀뜨김치', ' ', '맛김치']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['메', '밀', ' ', '지', '짐', '만', '두', '랑', ' ', '뽀', '뽀', '뜨', '김', '치', ' ', '맛', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이 비비고 썰은총각김치와 옛날 왕만두,"['씨제이', ' ', '비비고', ' ', '썰은총각김치', '와', ' ', '옛날', ' ', '왕만두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '비', '비', '고', ' ', '썰', '은', '총', '각', '김', '치', '와', ' ', '옛', '날', ' ', '왕', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
수제 치즈케익 치즈트랩 케익과 정통 독일식 닭가슴살 소시지 프랑크 허브맛,"['수제', ' ', '치즈케익', ' ', '치즈트랩', ' ', '케익', '과', ' ', '정통', ' ', '독일식', ' ', '닭가슴살', ' ', '소시지', ' ', '프랑크', ' ', '허브맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['수', '제', ' ', '치', '즈', '케', '익', ' ', '치', '즈', '트', '랩', ' ', '케', '익', '과', ' ', '정', '통', ' ', '독', '일', '식', ' ', '닭', '가', '슴', '살', ' ', '소', '시', '지', ' ', '프', '랑', '크', ' ', '허', '브', '맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
4KG짜리 사탕과 제주하루미 전통젓갈,"['4KG짜리', ' ', '사탕', '과', ' ', '제주하루미', ' ', '전통젓갈']","['PRD_B', '-', 'PRDG_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['4', 'K', 'G', '짜', '리', ' ', '사', '탕', '과', ' ', '제', '주', '하', '루', '미', ' ', '전', '통', '젓', '갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
구뭐낸 피레네 플레인 바움쿠헨 조각케익과 제주담은 김부각,"['구뭐낸', ' ', '피레네', ' ', '플레인', ' ', '바움쿠헨', ' ', '조각케익', '과', ' ', '제주담은', ' ', '김부각']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['구', '뭐', '낸', ' ', '피', '레', '네', ' ', '플', '레', '인', ' ', '바', '움', '쿠', '헨', ' ', '조', '각', '케', '익', '과', ' ', '제', '주', '담', '은', ' ', '김', '부', '각']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
프라임 프랑크소시지 피코크 초코케익,"['프라임', ' ', '프랑크소시지', ' ', '피코크', ' ', '초코케익']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['프', '라', '임', ' ', '프', '랑', '크', '소', '시', '지', ' ', '피', '코', '크', ' ', '초', '코', '케', '익']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이 하선정쌈무새콤과 하남쭈꾸미 하남갑오징어,"['씨제이', ' ', '하선정쌈무새콤', '과', ' ', '하남쭈꾸미', ' ', '하남갑오징어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '하', '선', '정', '쌈', '무', '새', '콤', '과', ' ', '하', '남', '쭈', '꾸', '미', ' ', '하', '남', '갑', '오', '징', '어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
멘토스 사탕과 닭가슴살 소시지 핫바 혼합,"['멘토스', ' ', '사탕', '과', ' ', '닭가슴살', ' ', '소시지', ' ', '핫바', ' ', '혼합']","['PRD_B', '-', 'PRDG_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['멘', '토', '스', ' ', '사', '탕', '과', ' ', '닭', '가', '슴', '살', ' ', '소', '시', '지', ' ', '핫', '바', ' ', '혼', '합']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
서울식품 미니랑 피코크 조선호텔 맛 김치,"['서울식품', ' ', '미니', '랑', ' ', '피코크', ' ', '조선호텔', ' ', '맛', ' ', '김치']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['서', '울', '식', '품', ' ', '미', '니', '랑', ' ', '피', '코', '크', ' ', '조', '선', '호', '텔', ' ', '맛', ' ', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
한돈간장불고기 미니컵 플레인 아이스크림,"['한돈간장불고기', ' ', '미니컵', ' ', '플레인', ' ', '아이스크림']","['PRD_B', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['한', '돈', '간', '장', '불', '고', '기', ' ', '미', '니', '컵', ' ', '플', '레', '인', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
춘향골 김치보감 생 포기 김치와 안흥식품 금바위 감자손만두,"['춘향골', ' ', '김치보감', ' ', '생', ' ', '포기', ' ', '김치', '와', ' ', '안흥식품', ' ', '금바위', ' ', '감자손만두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['춘', '향', '골', ' ', '김', '치', '보', '감', ' ', '생', ' ', '포', '기', ' ', '김', '치', '와', ' ', '안', '흥', '식', '품', ' ', '금', '바', '위', ' ', '감', '자', '손', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
구워먹는 닭가슴살 탕수육과 소프트 케익 더블세트,"['구워먹는', ' ', '닭가슴살', ' ', '탕수육', '과', ' ', '소프트', ' ', '케익', ' ', '더블세트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['구', '워', '먹', '는', ' ', '닭', '가', '슴', '살', ' ', '탕', '수', '육', '과', ' ', '소', '프', '트', ' ', '케', '익', ' ', '더', '블', '세', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
