product,words,words_tagging,syllables,syllables_tagging
서울우유 초콜릿맛,"['서울우유', ' ', '초콜릿맛']","['PRD_B', 'PRD_I', 'PRD_I']","['서', '울', '우', '유', ' ', '초', '콜', '릿', '맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
서울우유 초콜릿,"['서울우유', ' ', '초콜릿']","['PRD_B', 'PRD_I', 'PRD_I']","['서', '울', '우', '유', ' ', '초', '콜', '릿']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
우유 960ML,"['우유', ' ', '960ML']","['PRDG_B', '-', 'PRD_B']","['우', '유', ' ', '9', '6', '0', 'M', 'L']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
야채순대,['야채순대'],['PRD_B'],"['야', '채', '순', '대']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
해드림 야채순대,"['해드림', ' ', '야채순대']","['PRD_B', 'PRD_I', 'PRD_I']","['해', '드', '림', ' ', '야', '채', '순', '대']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
지코코넛 버터플라이새우,"['지코코넛', ' ', '버터플라이새우']","['PRD_B', 'PRD_I', 'PRD_I']","['지', '코', '코', '넛', ' ', '버', '터', '플', '라', '이', '새', '우']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
밤식빵,['밤식빵'],['PRD_B'],"['밤', '식', '빵']","['PRD_B', 'PRD_I', 'PRD_I']"
안동 냉동 수정과 음료,"['안동', ' ', '냉동', ' ', '수정과', ' ', '음료']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['안', '동', ' ', '냉', '동', ' ', '수', '정', '과', ' ', '음', '료']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 안동 냉동 수정과 음료,"['피코크', ' ', '안동', ' ', '냉동', ' ', '수정과', ' ', '음료']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '안', '동', ' ', '냉', '동', ' ', '수', '정', '과', ' ', '음', '료']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
핑거스트링 치즈,"['핑거스트링', ' ', '치즈']","['PRD_B', '-', 'PRDG_B']","['핑', '거', '스', '트', '링', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
남양 핑거스트링 치즈,"['남양', ' ', '핑거스트링', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['남', '양', ' ', '핑', '거', '스', '트', '링', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
팝타르트 딸기,"['팝타르트', ' ', '딸기']","['PRD_B', 'PRD_I', 'PRD_I']","['팝', '타', '르', '트', ' ', '딸', '기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
켈로그 팝타르트 딸기,"['켈로그', ' ', '팝타르트', ' ', '딸기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['켈', '로', '그', ' ', '팝', '타', '르', '트', ' ', '딸', '기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
카사바칩 과자,"['카사바칩', ' ', '과자']","['PRD_B', '-', 'PRDG_B']","['카', '사', '바', '칩', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
기린 토스트,"['기린', ' ', '토스트']","['PRD_B', 'PRD_I', 'PRD_I']","['기', '린', ' ', '토', '스', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
조선호텔 맛김치,"['조선호텔', ' ', '맛김치']","['PRD_B', 'PRD_I', 'PRD_I']","['조', '선', '호', '텔', ' ', '맛', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 조선호텔 맛김치,"['피코크', ' ', '조선호텔', ' ', '맛김치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '조', '선', '호', '텔', ' ', '맛', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
국내산 팥으로 만든 안흥쌀,"['국내산', ' ', '팥으로', ' ', '만든', ' ', '안흥쌀']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['국', '내', '산', ' ', '팥', '으', '로', ' ', '만', '든', ' ', '안', '흥', '쌀']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
생미쉘 마들렝,"['생미쉘', ' ', '마들렝']","['PRD_B', 'PRD_I', 'PRD_I']","['생', '미', '쉘', ' ', '마', '들', '렝']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
큐원 화이트 컴파운드 버튼,"['큐원', ' ', '화이트', ' ', '컴파운드', ' ', '버튼']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['큐', '원', ' ', '화', '이', '트', ' ', '컴', '파', '운', '드', ' ', '버', '튼']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
전철우 앵거스 엘에이,"['전철우', ' ', '앵거스', ' ', '엘에이']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['전', '철', '우', ' ', '앵', '거', '스', ' ', '엘', '에', '이']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
헬로키티 스탬프 캔디,"['헬로키티', ' ', '스탬프', ' ', '캔디']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['헬', '로', '키', '티', ' ', '스', '탬', '프', ' ', '캔', '디']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
스낵믹스 치즈,"['스낵믹스', ' ', '치즈']","['PRD_B', '-', 'PRDG_B']","['스', '낵', '믹', '스', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
감자칩 과자,"['감자칩', ' ', '과자']","['PRD_B', '-', 'PRDG_B']","['감', '자', '칩', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
나토리 우마이카,"['나토리', ' ', '우마이카']","['PRD_B', 'PRD_I', 'PRD_I']","['나', '토', '리', ' ', '우', '마', '이', '카']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
훈제오리슬라이스,['훈제오리슬라이스'],['PRD_B'],"['훈', '제', '오', '리', '슬', '라', '이', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
초록마을 훈제오리슬라이스,"['초록마을', ' ', '훈제오리슬라이스']","['PRD_B', 'PRD_I', 'PRD_I']","['초', '록', '마', '을', ' ', '훈', '제', '오', '리', '슬', '라', '이', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
수제 할로우미 치즈,"['수제', ' ', '할로우미', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['수', '제', ' ', '할', '로', '우', '미', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
어메이징 닭칼국수 세트,"['어메이징', ' ', '닭칼국수', ' ', '세트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['어', '메', '이', '징', ' ', '닭', '칼', '국', '수', ' ', '세', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
데니쉬페스츄리,['데니쉬페스츄리'],['PRD_B'],"['데', '니', '쉬', '페', '스', '츄', '리']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
서울식품 데니쉬페스츄리,"['서울식품', ' ', '데니쉬페스츄리']","['PRD_B', 'PRD_I', 'PRD_I']","['서', '울', '식', '품', ' ', '데', '니', '쉬', '페', '스', '츄', '리']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
에이피정통크로와상,['에이피정통크로와상'],['PRD_B'],"['에', '이', '피', '정', '통', '크', '로', '와', '상']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
메나쥬리 에이피정통크로와상,"['메나쥬리', ' ', '에이피정통크로와상']","['PRD_B', 'PRD_I', 'PRD_I']","['메', '나', '쥬', '리', ' ', '에', '이', '피', '정', '통', '크', '로', '와', '상']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
연세 멸균 우유,"['연세', ' ', '멸균', ' ', '우유']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['연', '세', ' ', '멸', '균', ' ', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
칩스 과자,"['칩스', ' ', '과자']","['PRD_B', '-', 'PRDG_B']","['칩', '스', ' ', '과', '자']","['PRD_B', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
복분자 젤리,"['복분자', ' ', '젤리']","['PRD_B', 'PRD_I', 'PRD_I']","['복', '분', '자', ' ', '젤', '리']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
사조안심 곡물텐더,"['사조안심', ' ', '곡물텐더']","['PRD_B', 'PRD_I', 'PRD_I']","['사', '조', '안', '심', ' ', '곡', '물', '텐', '더']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
벌집핏자 과자,"['벌집핏자', ' ', '과자']","['PRD_B', '-', 'PRDG_B']","['벌', '집', '핏', '자', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
소와나무 슬라이스 치즈,"['소와나무', ' ', '슬라이스', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['소', '와', '나', '무', ' ', '슬', '라', '이', '스', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
한입가득 버섯물만두,"['한입가득', ' ', '버섯물만두']","['PRD_B', 'PRD_I', 'PRD_I']","['한', '입', '가', '득', ' ', '버', '섯', '물', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
과자 270G,"['과자', ' ', '270G']","['PRDG_B', '-', 'PRD_B']","['과', '자', ' ', '2', '7', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
상하목장 우유,"['상하목장', ' ', '우유']","['PRD_B', '-', 'PRDG_B']","['상', '하', '목', '장', ' ', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
조선호텔 김치,"['조선호텔', ' ', '김치']","['PRD_B', '-', 'PRDG_B']","['조', '선', '호', '텔', ' ', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
다담냉이된장찌개기획,['다담냉이된장찌개기획'],['PRD_B'],"['다', '담', '냉', '이', '된', '장', '찌', '개', '기', '획']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
사탕 820G,"['사탕', ' ', '820G']","['PRDG_B', '-', 'PRD_B']","['사', '탕', ' ', '8', '2', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
대림 흰살생선까스,"['대림', ' ', '흰살생선까스']","['PRD_B', 'PRD_I', 'PRD_I']","['대', '림', ' ', '흰', '살', '생', '선', '까', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
작센우유 멸균우유 유지방,"['작센우유', ' ', '멸균우유', ' ', '유지방']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['작', '센', '우', '유', ' ', '멸', '균', '우', '유', ' ', '유', '지', '방']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
고향 불낙교자,"['고향', ' ', '불낙교자']","['PRD_B', 'PRD_I', 'PRD_I']","['고', '향', ' ', '불', '낙', '교', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
삼립 뉴욕치즈케익,"['삼립', ' ', '뉴욕치즈케익']","['PRD_B', 'PRD_I', 'PRD_I']","['삼', '립', ' ', '뉴', '욕', '치', '즈', '케', '익']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
프랑스 바게트 깜빠뉴 파베이크,"['프랑스', ' ', '바게트', ' ', '깜빠뉴', ' ', '파베이크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['프', '랑', '스', ' ', '바', '게', '트', ' ', '깜', '빠', '뉴', ' ', '파', '베', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
김해축협 불고기,"['김해축협', ' ', '불고기']","['PRD_B', 'PRD_I', 'PRD_I']","['김', '해', '축', '협', ' ', '불', '고', '기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
속초 명태회무침,"['속초', ' ', '명태회무침']","['PRD_B', 'PRD_I', 'PRD_I']","['속', '초', ' ', '명', '태', '회', '무', '침']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
순두부 기획,"['순두부', ' ', '기획']","['PRD_B', 'PRD_I', 'PRD_I']","['순', '두', '부', ' ', '기', '획']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
물만두,['물만두'],['PRD_B'],"['물', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I']"
메추리알간장조림,['메추리알간장조림'],['PRD_B'],"['메', '추', '리', '알', '간', '장', '조', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
크레모나 그라나파다노,"['크레모나', ' ', '그라나파다노']","['PRD_B', 'PRD_I', 'PRD_I']","['크', '레', '모', '나', ' ', '그', '라', '나', '파', '다', '노']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
단팥,['단팥'],['PRD_B'],"['단', '팥']","['PRD_B', 'PRD_I']"
블루베리 파운드 흑임자,"['블루베리', ' ', '파운드', ' ', '흑임자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['블', '루', '베', '리', ' ', '파', '운', '드', ' ', '흑', '임', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
상어밥 매콤한맛,"['상어밥', ' ', '매콤한맛']","['PRD_B', 'PRD_I', 'PRD_I']","['상', '어', '밥', ' ', '매', '콤', '한', '맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
과자 155G,"['과자', ' ', '155G']","['PRDG_B', '-', 'PRD_B']","['과', '자', ' ', '1', '5', '5', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 동태전,"['피코크', ' ', '동태전']","['PRD_B', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '동', '태', '전']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
썰은 김치,"['썰은', ' ', '김치']","['PRD_B', '-', 'PRDG_B']","['썰', '은', ' ', '김', '치']","['PRD_B', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
쌀눈쌀로만든유기농쌀가루고운입자,['쌀눈쌀로만든유기농쌀가루고운입자'],['PRD_B'],"['쌀', '눈', '쌀', '로', '만', '든', '유', '기', '농', '쌀', '가', '루', '고', '운', '입', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
스위트크림치즈프렛즐,['스위트크림치즈프렛즐'],['PRD_B'],"['스', '위', '트', '크', '림', '치', '즈', '프', '렛', '즐']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
어니언 베이글,"['어니언', ' ', '베이글']","['PRD_B', 'PRD_I', 'PRD_I']","['어', '니', '언', ' ', '베', '이', '글']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
벨큐브 플레인,"['벨큐브', ' ', '플레인']","['PRD_B', 'PRD_I', 'PRD_I']","['벨', '큐', '브', ' ', '플', '레', '인']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이 쁘띠첼 요거젤리 딸기,"['씨제이', ' ', '쁘띠첼', ' ', '요거젤리', ' ', '딸기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '쁘', '띠', '첼', ' ', '요', '거', '젤', '리', ' ', '딸', '기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
후룻볼 복숭아,"['후룻볼', ' ', '복숭아']","['PRD_B', 'PRD_I', 'PRD_I']","['후', '룻', '볼', ' ', '복', '숭', '아']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
나뚜루 초코 아이스크림,"['나뚜루', ' ', '초코', ' ', '아이스크림']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['나', '뚜', '루', ' ', '초', '코', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
남양 맛있는우유,"['남양', ' ', '맛있는우유']","['PRD_B', 'PRD_I', 'PRD_I']","['남', '양', ' ', '맛', '있', '는', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
삼립 냉동 브라운 브레드,"['삼립', ' ', '냉동', ' ', '브라운', ' ', '브레드']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['삼', '립', ' ', '냉', '동', ' ', '브', '라', '운', ' ', '브', '레', '드']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
동원 얇은피 김치만두,"['동원', ' ', '얇은피', ' ', '김치만두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['동', '원', ' ', '얇', '은', '피', ' ', '김', '치', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
우리콩 맛있는 안동낫또 생청국장 백태흑태 구성별 모음나또낫토선물세트,"['우리콩', ' ', '맛있는', ' ', '안동낫또', ' ', '생청국장', ' ', '백태흑태', ' ', '구성별', ' ', '모음나또낫토선물세트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['우', '리', '콩', ' ', '맛', '있', '는', ' ', '안', '동', '낫', '또', ' ', '생', '청', '국', '장', ' ', '백', '태', '흑', '태', ' ', '구', '성', '별', ' ', '모', '음', '나', '또', '낫', '토', '선', '물', '세', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
치즈 300G,"['치즈', ' ', '300G']","['PRDG_B', '-', 'PRD_B']","['치', '즈', ' ', '3', '0', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
삼립 참참만쥬,"['삼립', ' ', '참참만쥬']","['PRD_B', 'PRD_I', 'PRD_I']","['삼', '립', ' ', '참', '참', '만', '쥬']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
초콜릿,['초콜릿'],['PRD_B'],"['초', '콜', '릿']","['PRD_B', 'PRD_I', 'PRD_I']"
피코크 쇠고기 장조림,"['피코크', ' ', '쇠고기', ' ', '장조림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '쇠', '고', '기', ' ', '장', '조', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
살구,['살구'],['PRD_B'],"['살', '구']","['PRD_B', 'PRD_I']"
피코크 생 초콜릿 녹차,"['피코크', ' ', '생', ' ', '초콜릿', ' ', '녹차']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '생', ' ', '초', '콜', '릿', ' ', '녹', '차']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
리롤 파운드,"['리롤', ' ', '파운드']","['PRD_B', 'PRD_I', 'PRD_I']","['리', '롤', ' ', '파', '운', '드']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
리얼 크로크무슈 갈릭고르곤졸라,"['리얼', ' ', '크로크무슈', ' ', '갈릭고르곤졸라']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['리', '얼', ' ', '크', '로', '크', '무', '슈', ' ', '갈', '릭', '고', '르', '곤', '졸', '라']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
국내산 김치,"['국내산', ' ', '김치']","['PRD_B', '-', 'PRDG_B']","['국', '내', '산', ' ', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
바다담은 순수 젓갈,"['바다담은', ' ', '순수', ' ', '젓갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['바', '다', '담', '은', ' ', '순', '수', ' ', '젓', '갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
